FreqBBC1;568.06;MHz
FreqBBC2;570.06;MHz
FreqStart;6668.06;MHz
FreqStop;6670.06;MHz
End;27;----------------------;
Scan;28;
Source;g59p783,194311.25,234403.3;
Date;27 Jun 2017;
TimeStart;19:29:50;UT;
TimeStop;19:36:50;UT;
Duration;420;sec;7;min
RA;19 43 11.25;
DEC;23 44 03.3;
Epoch;2000.0;
Systemtemperature1;1u;26.9;
Systemtemperature2;9u;27.6;
FreqBBC1;567.58;MHz
FreqBBC2;569.58;MHz
FreqStart;6667.58;MHz
FreqStop;6669.58;MHz
End;28;----------------------;
Scan;29;
Source;g50p03,192115.10,152649.5;
Date;27 Jun 2017;
TimeStart;19:38:50;UT;
TimeStop;19:45:50;UT;
Duration;420;sec;7;min
RA;19 21 15.10;
DEC;15 26 49.5;
Epoch;2000.0;
Systemtemperature1;1u;27.9;
Systemtemperature2;9u;28.4;
FreqBBC1;568.21;MHz
FreqBBC2;570.21;MHz
FreqStart;6668.21;MHz
FreqStop;6670.21;MHz
End;29;----------------------;
Scan;30;
Source;g53p03,192955.49,175203.1;
Date;27 Jun 2017;
TimeStart;19:47:50;UT;
TimeStop;19:54:50;UT;
Duration;420;sec;7;min
RA;19 29 55.49;
DEC;17 52 03.1;
Epoch;2000.0;
Systemtemperature1;1u;28.3;
Systemtemperature2;9u;28.7;
FreqBBC1;567.88;MHz
FreqBBC2;569.88;MHz
FreqStart;6667.88;MHz
FreqStop;6669.88;MHz
End;30;----------------------;
Scan;31;
Source;w51,192343.96,143035.0;
Date;27 Jun 2017;
TimeStart;19:56:50;UT;
TimeStop;20:03:50;UT;
Duration;420;sec;7;min
RA;19 23 43.96;
DEC;14 30 35.0;
Epoch;2000.0;
Systemtemperature1;1u;38.3;
Systemtemperature2;9u;38.3;
FreqBBC1;566.83;MHz
FreqBBC2;568.83;MHz
FreqStart;6666.83;MHz
FreqStop;6668.83;MHz
End;31;----------------------;
Scan;32;
Source;w49n,191011.05,090520.4;
Date;27 Jun 2017;
TimeStart;20:05:50;UT;
TimeStop;20:12:50;UT;
Duration;420;sec;7;min
RA;19 10 11.05;
DEC;09 05 20.4;
Epoch;2000.0;
Systemtemperature1;1u;33.2;
Systemtemperature2;9u;33.4;
FreqBBC1;567.76;MHz
FreqBBC2;569.76;MHz
FreqStart;6667.76;MHz
FreqStop;6669.76;MHz
End;32;----------------------;
Scan;33;
Source;g49p04,192522.30,134720.1;
Date;27 Jun 2017;
TimeStart;20:14:50;UT;
TimeStop;20:21:50;UT;
Duration;420;sec;7;min
RA;19 25 22.30;
DEC;13 47 20.1;
Epoch;2000.0;
Systemtemperature1;1u;29.8;
Systemtemperature2;9u;30.4;
FreqBBC1;567.29;MHz
FreqBBC2;569.29;MHz
FreqStart;6667.29;MHz
FreqStop;6669.29;MHz
End;33;----------------------;
Scan;34;
Source;g37p479,190007.14,035953.3;
Date;27 Jun 2017;
TimeStart;20:23:50;UT;
TimeStop;20:30:50;UT;
Duration;420;sec;7;min
RA;19 00 07.14;
DEC;03 59 53.3;
Epoch;2000.0;
Systemtemperature1;1u;32.2;
Systemtemperature2;9u;32.4;
FreqBBC1;566.80;MHz
FreqBBC2;568.80;MHz
FreqStart;6666.8;MHz
FreqStop;6668.8;MHz
End;34;----------------------;
Scan;35;
Source;g33p64,185332.56,003139.2;
Date;27 Jun 2017;
TimeStart;20:32:50;UT;
TimeStop;20:39:50;UT;
Duration;420;sec;7;min
RA;18 53 32.56;
DEC;00 31 39.2;
Epoch;2000.0;
Systemtemperature1;1u;33.3;
Systemtemperature2;9u;33.4;
FreqBBC1;566.65;MHz
FreqBBC2;568.65;MHz
FreqStart;6666.65;MHz
FreqStop;6668.65;MHz
End;35;----------------------;
Scan;36;
